GEO.id,GEO.id2,GEO.display-label,HD01_VD09,HD01_VD16,HD01_VD23,HD01_VD30,HD01_VD44
Id,Id2,Geography,"Estimate; Total: - Car, truck, or van - drove alone:","Estimate; Total: - Car, truck, or van - carpooled:",Estimate; Total: - Public transportation (excluding taxicab):,Estimate; Total: - Walked:,Estimate; Total: - Worked at home:
0100000US,,United States,113464765,13588952,7607907,4049337,7027410
8600000US06390,6390,ZCTA5 06390,34,19,26,50,2
8600000US07421,7421,ZCTA5 07421,3214,347,206,36,161
8600000US10001,10001,ZCTA5 10001,413,144,6563,4869,979
8600000US10002,10002,ZCTA5 10002,1851,1031,17946,8672,1647
8600000US10003,10003,ZCTA5 10003,1359,532,17334,8550,2400
8600000US10004,10004,ZCTA5 10004,155,13,1238,413,242
8600000US10005,10005,ZCTA5 10005,106,10,4326,2044,235
8600000US10006,10006,ZCTA5 10006,38,75,1378,895,180
8600000US10007,10007,ZCTA5 10007,322,17,1868,898,255
8600000US10009,10009,ZCTA5 10009,1435,394,19450,6986,1549
8600000US10010,10010,ZCTA5 10010,793,245,11362,4947,1335
8600000US10011,10011,ZCTA5 10011,1456,453,18381,8281,2204
8600000US10012,10012,ZCTA5 10012,583,264,7898,4413,1149
8600000US10013,10013,ZCTA5 10013,583,339,7716,4708,1497
8600000US10014,10014,ZCTA5 10014,1035,288,11060,4434,2235
8600000US10016,10016,ZCTA5 10016,938,531,12761,15023,2058
8600000US10017,10017,ZCTA5 10017,643,51,4143,5008,839
8600000US10018,10018,ZCTA5 10018,210,33,2976,2773,391
8600000US10019,10019,ZCTA5 10019,1383,329,11836,10212,2062
8600000US10020,10020,ZCTA5 10020,0,0,0,0,0
8600000US10021,10021,ZCTA5 10021,2535,735,11787,6477,1727
8600000US10022,10022,ZCTA5 10022,1397,270,7882,7061,1791
8600000US10023,10023,ZCTA5 10023,1678,570,20753,6144,2993
8600000US10024,10024,ZCTA5 10024,1534,580,23677,2508,3061
8600000US10025,10025,ZCTA5 10025,3082,1057,31983,4578,4019
8600000US10026,10026,ZCTA5 10026,1026,262,15355,1293,1275
8600000US10027,10027,ZCTA5 10027,2263,294,18237,4033,1778
8600000US10028,10028,ZCTA5 10028,2294,323,19731,4625,2035
8600000US10029,10029,ZCTA5 10029,2079,270,22840,5376,1227
8600000US10030,10030,ZCTA5 10030,1140,421,9685,1229,567
8600000US10031,10031,ZCTA5 10031,1951,693,25530,2200,2112
8600000US10032,10032,ZCTA5 10032,2139,1245,20662,4410,1638
8600000US10033,10033,ZCTA5 10033,2074,1284,20037,3525,1517
8600000US10034,10034,ZCTA5 10034,2142,677,14558,2190,1273
8600000US10035,10035,ZCTA5 10035,1348,219,9575,1417,520
8600000US10036,10036,ZCTA5 10036,691,147,8970,6762,1084
8600000US10037,10037,ZCTA5 10037,922,124,6058,1083,495
8600000US10038,10038,ZCTA5 10038,694,146,6243,3593,729
8600000US10039,10039,ZCTA5 10039,970,209,8551,809,384
8600000US10040,10040,ZCTA5 10040,1505,552,15535,2221,1380
8600000US10044,10044,ZCTA5 10044,255,124,4638,299,55
8600000US10065,10065,ZCTA5 10065,1213,333,7208,6055,1702
8600000US10069,10069,ZCTA5 10069,140,52,1930,341,244
8600000US10075,10075,ZCTA5 10075,1168,208,6976,2444,1070
8600000US10103,10103,ZCTA5 10103,0,0,0,0,0
8600000US10110,10110,ZCTA5 10110,0,0,0,0,0
8600000US10111,10111,ZCTA5 10111,0,0,0,0,0
8600000US10112,10112,ZCTA5 10112,0,0,0,0,0
8600000US10115,10115,ZCTA5 10115,0,0,0,0,0
8600000US10119,10119,ZCTA5 10119,0,0,0,0,0
8600000US10128,10128,ZCTA5 10128,2199,655,24312,4247,3113
8600000US10152,10152,ZCTA5 10152,0,0,0,0,0
8600000US10153,10153,ZCTA5 10153,0,0,0,0,0
8600000US10154,10154,ZCTA5 10154,0,0,0,0,0
8600000US10162,10162,ZCTA5 10162,141,0,308,168,98
8600000US10165,10165,ZCTA5 10165,0,0,0,0,0
8600000US10167,10167,ZCTA5 10167,0,0,0,0,0
8600000US10168,10168,ZCTA5 10168,0,0,0,0,0
8600000US10169,10169,ZCTA5 10169,0,0,0,0,0
8600000US10170,10170,ZCTA5 10170,0,0,0,0,0
8600000US10171,10171,ZCTA5 10171,0,0,0,0,0
8600000US10172,10172,ZCTA5 10172,0,0,0,0,0
8600000US10173,10173,ZCTA5 10173,0,0,0,0,0
