GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02
Id,Id2,Geography,Median income (dollars); Estimate; Households
0100000US,,United States,55322
8600000US06390,6390,ZCTA5 06390,152652
8600000US07421,7421,ZCTA5 07421,94375
8600000US10001,10001,ZCTA5 10001,85168
8600000US10002,10002,ZCTA5 10002,35594
8600000US10003,10003,ZCTA5 10003,100791
8600000US10004,10004,ZCTA5 10004,123056
8600000US10005,10005,ZCTA5 10005,130116
8600000US10006,10006,ZCTA5 10006,125364
8600000US10007,10007,ZCTA5 10007,234958
8600000US10009,10009,ZCTA5 10009,60788
8600000US10010,10010,ZCTA5 10010,110142
8600000US10011,10011,ZCTA5 10011,114134
8600000US10012,10012,ZCTA5 10012,101815
8600000US10013,10013,ZCTA5 10013,104167
8600000US10014,10014,ZCTA5 10014,119026
8600000US10016,10016,ZCTA5 10016,102703
8600000US10017,10017,ZCTA5 10017,106795
8600000US10018,10018,ZCTA5 10018,105479
8600000US10019,10019,ZCTA5 10019,94477
8600000US10020,10020,ZCTA5 10020,-
8600000US10021,10021,ZCTA5 10021,115681
8600000US10022,10022,ZCTA5 10022,123693
8600000US10023,10023,ZCTA5 10023,115080
8600000US10024,10024,ZCTA5 10024,118594
8600000US10025,10025,ZCTA5 10025,80025
8600000US10026,10026,ZCTA5 10026,52082
8600000US10027,10027,ZCTA5 10027,42754
8600000US10028,10028,ZCTA5 10028,111302
8600000US10029,10029,ZCTA5 10029,32500
8600000US10030,10030,ZCTA5 10030,33720
8600000US10031,10031,ZCTA5 10031,41848
8600000US10032,10032,ZCTA5 10032,40054
8600000US10033,10033,ZCTA5 10033,46349
8600000US10034,10034,ZCTA5 10034,45643
8600000US10035,10035,ZCTA5 10035,26893
8600000US10036,10036,ZCTA5 10036,83812
8600000US10037,10037,ZCTA5 10037,39463
8600000US10038,10038,ZCTA5 10038,82910
8600000US10039,10039,ZCTA5 10039,32257
8600000US10040,10040,ZCTA5 10040,45811
8600000US10044,10044,ZCTA5 10044,86483
8600000US10065,10065,ZCTA5 10065,118310
8600000US10069,10069,ZCTA5 10069,155702
8600000US10075,10075,ZCTA5 10075,114481
8600000US10103,10103,ZCTA5 10103,-
8600000US10110,10110,ZCTA5 10110,-
8600000US10111,10111,ZCTA5 10111,-
8600000US10112,10112,ZCTA5 10112,-
8600000US10115,10115,ZCTA5 10115,-
8600000US10119,10119,ZCTA5 10119,-
8600000US10128,10128,ZCTA5 10128,103817
8600000US10152,10152,ZCTA5 10152,-
8600000US10153,10153,ZCTA5 10153,-
8600000US10154,10154,ZCTA5 10154,-
8600000US10162,10162,ZCTA5 10162,178822
8600000US10165,10165,ZCTA5 10165,-
8600000US10167,10167,ZCTA5 10167,-
8600000US10168,10168,ZCTA5 10168,-
8600000US10169,10169,ZCTA5 10169,-
8600000US10170,10170,ZCTA5 10170,-
8600000US10171,10171,ZCTA5 10171,-
8600000US10172,10172,ZCTA5 10172,-
8600000US10173,10173,ZCTA5 10173,-
8600000US10174,10174,ZCTA5 10174,-
8600000US10177,10177,ZCTA5 10177,-
8600000US10199,10199,ZCTA5 10199,-
8600000US10271,10271,ZCTA5 10271,-
8600000US10278,10278,ZCTA5 10278,-
8600000US10279,10279,ZCTA5 10279,-
8600000US10280,10280,ZCTA5 10280,146875
8600000US10282,10282,ZCTA5 10282,"250,000+"
8600000US10301,10301,ZCTA5 10301,55700
8600000US10302,10302,ZCTA5 10302,55864
8600000US10303,10303,ZCTA5 10303,55198
8600000US10304,10304,ZCTA5 10304,53843
8600000US10305,10305,ZCTA5 10305,74063
