"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of non-federal jobs in all industries in 2017."
"10314","10314","=""10314""","24970"
"11234","11234","=""11234""","17908"
"10312","10312","=""10312""","7364"
"10306","10306","=""10306""","12533"
"11430","11430","=""11430""","31100"
"10309","10309","=""10309""","8430"
"10305","10305","=""10305""","12548"
"10304","10304","=""10304""","7657"
"11385","11385","=""11385""","18752"
"11236","11236","=""11236""","14159"
"10301","10301","=""10301""","8336"
"10464","10464","=""10464""","1479"
"11208","11208","=""11208""","15294"
"10465","10465","=""10465""","8441"
"11434","11434","=""11434""","15293"
"10303","10303","=""10303""","6974"
"11413","11413","=""11413""","10386"
"11357","11357","=""11357""","8252"
"11691","11691","=""11691""","11366"
"11101","11101","=""11101""","88727"
"11368","11368","=""11368""","13257"
"11207","11207","=""11207""","16284"
"11378","11378","=""11378""","23380"
"10471","10471","=""10471""","9147"
"11697","11697","=""11697""","427"
"11367","11367","=""11367""","7023"
"11362","11362","=""11362""","3809"
"11377","11377","=""11377""","19113"
"11365","11365","=""11365""","9602"
"10469","10469","=""10469""","9271"
"11364","11364","=""11364""","3855"
"11235","11235","=""11235""","33905"
"10461","10461","=""10461""","32732"
"11414","11414","=""11414""","3899"
"11211","11211","=""11211""","49929"
"10467","10467","=""10467""","27761"
"11229","11229","=""11229""","19637"
"11354","11354","=""11354""","30585"
"11215","11215","=""11215""","25447"
"11214","11214","=""11214""","16547"
"11432","11432","=""11432""","21291"
"10473","10473","=""10473""","8763"
"11203","11203","=""11203""","23599"
"11209","11209","=""11209""","14843"
"11379","11379","=""11379""","6202"
"11420","11420","=""11420""","5627"
"11223","11223","=""11223""","18487"
"11422","11422","=""11422""","3351"
"10466","10466","=""10466""","10919"
"11375","11375","=""11375""","33093"
"10308","10308","=""10308""","3399"
"10307","10307","=""10307""","1899"
"11358","11358","=""11358""","6368"
"10475","10475","=""10475""","10238"
"11230","11230","=""11230""","35144"
"10310","10310","=""10310""","7937"
"11361","11361","=""11361""","17263"
"11220","11220","=""11220""","29413"
"11355","11355","=""11355""","28439"
"11105","11105","=""11105""","10802"
"11412","11412","=""11412""","2446"
"11210","11210","=""11210""","13574"
"11418","11418","=""11418""","14103"
"11222","11222","=""11222""","17127"
"11224","11224","=""11224""","8208"
"10463","10463","=""10463""","14471"
"11204","11204","=""11204""","15176"
"11427","11427","=""11427""","5902"
"11356","11356","=""11356""","10517"
"11433","11433","=""11433""","5566"
"11212","11212","=""11212""","12647"
"10474","10474","=""10474""","18165"
"11435","11435","=""11435""","8161"
"11373","11373","=""11373""","24620"
"11370","11370","=""11370""","13849"
"10462","10462","=""10462""","15782"
"11219","11219","=""11219""","49498"
"11228","11228","=""11228""","5803"
"11231","11231","=""11231""","14418"
"10470","10470","=""10470""","3516"
"11206","11206","=""11206""","24476"
"10035","10035","=""10035""","16502"
"11218","11218","=""11218""","23566"
"11201","11201","=""11201""","121076"
"11423","11423","=""11423""","3685"
"11360","11360","=""11360""","3006"
"11221","11221","=""11221""","9757"
"11426","11426","=""11426""","3142"
"11233","11233","=""11233""","8016"
"11694","11694","=""11694""","3177"
"10460","10460","=""10460""","6937"
"11429","11429","=""11429""","2888"
"11421","11421","=""11421""","2968"
"11226","11226","=""11226""","10771"
"11232","11232","=""11232""","18473"
"10302","10302","=""10302""","4613"
"11411","11411","=""11411""","1625"
"11419","11419","=""11419""","4902"
"11417","11417","=""11417""","4664"
"11238","11238","=""11238""","10969"
"10034","10034","=""10034""","4681"
"11371","11371","=""11371""","10651"
"11366","11366","=""11366""","3461"
"10468","10468","=""10468""","8531"
"11369","11369","=""11369""","8467"
"11213","11213","=""11213""","9532"
"11692","11692","=""11692""","1862"
"10457","10457","=""10457""","16168"
"10472","10472","=""10472""","5480"
"10454","10454","=""10454""","10814"
"10451","10451","=""10451""","20553"
"10456","10456","=""10456""","11628"
"10458","10458","=""10458""","18653"
"11237","11237","=""11237""","17540"
"10452","10452","=""10452""","8413"
"11693","11693","=""11693""","2474"
"11004","11004","=""11004""","11822"
"11205","11205","=""11205""","15861"
"11374","11374","=""11374""","13669"
