"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of non-federal jobs in all industries in 2014."
"10314","10314","=""10314""","23356"
"11234","11234","=""11234""","15602"
"10312","10312","=""10312""","5480"
"10306","10306","=""10306""","10898"
"11430","11430","=""11430""","33223"
"10309","10309","=""10309""","7340"
"10305","10305","=""10305""","9294"
"10304","10304","=""10304""","6005"
"11385","11385","=""11385""","14742"
"11236","11236","=""11236""","10290"
"10301","10301","=""10301""","6885"
"10464","10464","=""10464""","1453"
"11208","11208","=""11208""","11352"
"10465","10465","=""10465""","5980"
"11434","11434","=""11434""","10439"
"10303","10303","=""10303""","5867"
"11413","11413","=""11413""","7444"
"11357","11357","=""11357""","6757"
"11691","11691","=""11691""","8326"
"11101","11101","=""11101""","72902"
"11368","11368","=""11368""","9971"
"11207","11207","=""11207""","13789"
"11378","11378","=""11378""","19574"
"10471","10471","=""10471""","8263"
"11697","11697","=""11697""","283"
"11367","11367","=""11367""","5446"
"11362","11362","=""11362""","3750"
"11377","11377","=""11377""","16155"
"11365","11365","=""11365""","7731"
"10469","10469","=""10469""","7017"
"11364","11364","=""11364""","2394"
"11235","11235","=""11235""","21914"
"10461","10461","=""10461""","32104"
"11414","11414","=""11414""","3495"
"11211","11211","=""11211""","40631"
"10467","10467","=""10467""","29079"
"11229","11229","=""11229""","13185"
"11354","11354","=""11354""","25168"
"11215","11215","=""11215""","22563"
"11214","11214","=""11214""","12003"
"11432","11432","=""11432""","18665"
"10473","10473","=""10473""","5913"
"11203","11203","=""11203""","22777"
"11209","11209","=""11209""","13141"
"11379","11379","=""11379""","3812"
"11420","11420","=""11420""","4179"
"11223","11223","=""11223""","12710"
"11422","11422","=""11422""","2573"
"10466","10466","=""10466""","7851"
"11375","11375","=""11375""","27829"
"10308","10308","=""10308""","2192"
"10307","10307","=""10307""","1243"
"11358","11358","=""11358""","6010"
"10475","10475","=""10475""","10199"
"11230","11230","=""11230""","24945"
"10310","10310","=""10310""","6890"
"11361","11361","=""11361""","6604"
"11220","11220","=""11220""","24385"
"11355","11355","=""11355""","21968"
"11105","11105","=""11105""","8877"
"11412","11412","=""11412""","1358"
"11210","11210","=""11210""","10683"
"11418","11418","=""11418""","10776"
"11222","11222","=""11222""","14841"
"11224","11224","=""11224""","6471"
"10463","10463","=""10463""","11537"
"11204","11204","=""11204""","12367"
"11427","11427","=""11427""","5611"
"11356","11356","=""11356""","9703"
"11433","11433","=""11433""","4004"
"11212","11212","=""11212""","9158"
"10474","10474","=""10474""","15769"
"11435","11435","=""11435""","6914"
"11373","11373","=""11373""","20896"
"11370","11370","=""11370""","4537"
"10462","10462","=""10462""","13371"
"11219","11219","=""11219""","35319"
"11228","11228","=""11228""","4577"
"11231","11231","=""11231""","12234"
"10470","10470","=""10470""","2118"
"11206","11206","=""11206""","18081"
"10035","10035","=""10035""","13057"
"11218","11218","=""11218""","16416"
"11201","11201","=""11201""","298463"
"11423","11423","=""11423""","9441"
"11360","11360","=""11360""","3197"
"11221","11221","=""11221""","4615"
"11426","11426","=""11426""","2389"
"11233","11233","=""11233""","5354"
"11694","11694","=""11694""","2280"
"10460","10460","=""10460""","6433"
"11429","11429","=""11429""","2005"
"11421","11421","=""11421""","2215"
"11226","11226","=""11226""","8170"
"11232","11232","=""11232""","14255"
"10302","10302","=""10302""","3703"
"11411","11411","=""11411""","1140"
"11419","11419","=""11419""","3976"
"11417","11417","=""11417""","2672"
"11238","11238","=""11238""","7680"
"10034","10034","=""10034""","4649"
"11371","11371","=""11371""","7575"
"11366","11366","=""11366""","2596"
"10468","10468","=""10468""","7676"
"11369","11369","=""11369""","4456"
"11213","11213","=""11213""","6340"
"11692","11692","=""11692""","1599"
"10457","10457","=""10457""","11697"
"10472","10472","=""10472""","3678"
"10454","10454","=""10454""","8638"
"10451","10451","=""10451""","18885"
"10456","10456","=""10456""","6989"
"10458","10458","=""10458""","13856"
"11237","11237","=""11237""","12368"
"10452","10452","=""10452""","5562"
"11693","11693","=""11693""","1084"
"11004","11004","=""11004""","13821"
"11205","11205","=""11205""","13095"
"11374","11374","=""11374""","10681"
"11216","11216","=""11216""","4506"
"10453","10453","=""10453""","5162"
"11225","11225","=""11225""","4763"
"10002","10002","=""10002""","21057"
"11363","11363","=""11363""","922"
"10027","10027","=""10027""","42973"
"11106","11106","=""11106""","11613"
"10024","10024","=""10024""","20171"
"11428","11428","=""11428""","1841"
"10459","10459","=""10459""","5435"
"10029","10029","=""10029""","28975"
"11436","11436","=""11436""","1072"
"11102","11102","=""11102""","7512"
"10025","10025","=""10025""","21243"
"11217","11217","=""11217""","22244"
"11372","11372","=""11372""","7793"
"10455","10455","=""10455""","10171"
"11103","11103","=""11103""","7860"
"10019","10019","=""10019""","159806"
"10011","10011","=""10011""","77613"
"11416","11416","=""11416""","7389"
"10032","10032","=""10032""","16176"
"10031","10031","=""10031""","4803"
"11239","11239","=""11239""","3565"
"10009","10009","=""10009""","7544"
"10001","10001","=""10001""","170868"
"10033","10033","=""10033""","8328"
"10003","10003","=""10003""","98757"
"11415","11415","=""11415""","5819"
"10014","10014","=""10014""","38294"
"10013","10013","=""10013""","159173"
"10004","10004","=""10004""","73798"
"10016","10016","=""10016""","115673"
"10023","10023","=""10023""","41484"
"10128","10128","=""10128""","17835"
"10036","10036","=""10036""","157698"
"10039","10039","=""10039""","949"
"10022","10022","=""10022""","142251"
"11104","11104","=""11104""","5476"
"10040","10040","=""10040""","4015"
"10010","10010","=""10010""","75353"
"10021","10021","=""10021""","29801"
"10065","10065","=""10065""","52805"
"10026","10026","=""10026""","3376"
"10012","10012","=""10012""","46947"
"10018","10018","=""10018""","126167"
"10017","10017","=""10017""","133203"
"10028","10028","=""10028""","17053"
"10038","10038","=""10038""","38952"
"10030","10030","=""10030""","3548"
"10037","10037","=""10037""","4860"
"11359","11359","=""11359""","54"
"10044","10044","=""10044""","3150"
"10075","10075","=""10075""","10100"
"11005","11005","=""11005""","320"
"10007","10007","=""10007""","113706"
"10280","10280","=""10280""","7871"
"10069","10069","=""10069""","688"
"10006","10006","=""10006""","18630"
"10282","10282","=""10282""","2895"
"10005","10005","=""10005""","46886"
"11109","11109","=""11109""","614"
"10311","10311","=""10311""","31"
"11425","11425","=""11425""","1"
"11451","11451","=""11451""","316"
"11424","11424","=""11424""","159"
"10020","10020","=""10020""","20835"
"10199","10199","=""10199""","43"
"10119","10119","=""10119""","17788"
"10278","10278","=""10278""","396"
"10162","10162","=""10162""","262"
"10110","10110","=""10110""","9031"
"10170","10170","=""10170""","11409"
"10103","10103","=""10103""","8262"
"10112","10112","=""10112""","9963"
"10174","10174","=""10174""","5056"
"10168","10168","=""10168""","5617"
"10165","10165","=""10165""","5267"
"10171","10171","=""10171""","2298"
"10152","10152","=""10152""","2980"
"10172","10172","=""10172""","5390"
"10167","10167","=""10167""","5347"
"10154","10154","=""10154""","5844"
"11351","11351","=""11351""","2"
"10173","10173","=""10173""","5385"
"10153","10153","=""10153""","6087"
"10279","10279","=""10279""","3546"
"10169","10169","=""10169""","10830"
"10111","10111","=""10111""","5910"
"10271","10271","=""10271""","4783"
"10115","10115","=""10115""","1880"
"10177","10177","=""10177""","1205"

"Location: New York (City, 2010)"

"Indicator source: LEHD"
"http://www.policymap.com/our-data-directory.html#Census:%20Longitudinal%20Employer%20-%20Household%20Dynamics"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
