"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with 500 or more employees in 2016."
"10314","10314","=""10314""","9943"
"11234","11234","=""11234""","6386"
"10312","10312","=""10312""","1263"
"10306","10306","=""10306""","4285"
"11430","11430","=""11430""","28469"
"10309","10309","=""10309""","2037"
"10305","10305","=""10305""","4804"
"10304","10304","=""10304""","2769"
"11385","11385","=""11385""","3949"
"11236","11236","=""11236""","3533"
"10301","10301","=""10301""","1424"
"10464","10464","=""10464""","92"
"11208","11208","=""11208""","4463"
"10465","10465","=""10465""","1877"
"11434","11434","=""11434""","4112"
"10303","10303","=""10303""","2116"
"11413","11413","=""11413""","3850"
"11357","11357","=""11357""","1119"
"11691","11691","=""11691""","2555"
"11101","11101","=""11101""","38087"
"11368","11368","=""11368""","3261"
"11207","11207","=""11207""","4614"
"11378","11378","=""11378""","7031"
"10471","10471","=""10471""","4360"
"11697","11697","=""11697""","13"
"11367","11367","=""11367""","2126"
"11362","11362","=""11362""","1380"
"11377","11377","=""11377""","4545"
"11365","11365","=""11365""","2882"
"10469","10469","=""10469""","2865"
"11364","11364","=""11364""","397"
"11235","11235","=""11235""","12824"
"10461","10461","=""10461""","16041"
"11414","11414","=""11414""","709"
"11211","11211","=""11211""","15107"
"10467","10467","=""10467""","18491"
"11229","11229","=""11229""","5416"
"11354","11354","=""11354""","7160"
"11215","11215","=""11215""","9491"
"11214","11214","=""11214""","4008"
"11432","11432","=""11432""","7644"
"10473","10473","=""10473""","2666"
"11203","11203","=""11203""","3945"
"11209","11209","=""11209""","4166"
"11379","11379","=""11379""","1382"
"11420","11420","=""11420""","2363"
"11223","11223","=""11223""","2674"
"11422","11422","=""11422""","996"
"10466","10466","=""10466""","4428"
"11375","11375","=""11375""","16743"
"10308","10308","=""10308""","174"
"10307","10307","=""10307""","117"
"11358","11358","=""11358""","687"
"10475","10475","=""10475""","6111"
"11230","11230","=""11230""","17780"
"10310","10310","=""10310""","3558"
"11361","11361","=""11361""","9361"
"11220","11220","=""11220""","9971"
"11355","11355","=""11355""","14012"
"11105","11105","=""11105""","3724"
"11412","11412","=""11412""","329"
"11210","11210","=""11210""","4389"
"11418","11418","=""11418""","5593"
