"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with fewer than 500 employees in 2014."
"10314","10314","=""10314""","12073"
"11234","11234","=""11234""","8990"
"10312","10312","=""10312""","4497"
"10306","10306","=""10306""","6289"
"11430","11430","=""11430""","5186"
"10309","10309","=""10309""","4871"
"10305","10305","=""10305""","4872"
"10304","10304","=""10304""","3935"
"11385","11385","=""11385""","10173"
"11236","11236","=""11236""","6728"
"10301","10301","=""10301""","4429"
"10464","10464","=""10464""","1263"
"11208","11208","=""11208""","6357"
"10465","10465","=""10465""","4187"
"11434","11434","=""11434""","6374"
"10303","10303","=""10303""","2820"
"11413","11413","=""11413""","3294"
"11357","11357","=""11357""","5286"
"11691","11691","=""11691""","5831"
"11101","11101","=""11101""","36608"
"11368","11368","=""11368""","6953"
"11207","11207","=""11207""","9249"
"11378","11378","=""11378""","12543"
"10471","10471","=""10471""","3960"
"11697","11697","=""11697""","246"
"11367","11367","=""11367""","3556"
"11362","11362","=""11362""","2168"
"11377","11377","=""11377""","11702"
"11365","11365","=""11365""","4432"
"10469","10469","=""10469""","5051"
"11364","11364","=""11364""","2004"
"11235","11235","=""11235""","12505"
"10461","10461","=""10461""","7764"
"11414","11414","=""11414""","2771"
"11211","11211","=""11211""","28775"
"10467","10467","=""10467""","5189"
"11229","11229","=""11229""","9512"
"11354","11354","=""11354""","17095"
"11215","11215","=""11215""","13058"
"11214","11214","=""11214""","8932"
"11432","11432","=""11432""","7821"
"10473","10473","=""10473""","3096"
"11203","11203","=""11203""","6052"
"11209","11209","=""11209""","9395"
"11379","11379","=""11379""","3375"
"11420","11420","=""11420""","1902"
"11223","11223","=""11223""","11168"
"11422","11422","=""11422""","1795"
"10466","10466","=""10466""","3769"
"11375","11375","=""11375""","10785"
"10308","10308","=""10308""","2008"
"10307","10307","=""10307""","1163"
"11358","11358","=""11358""","5308"
"10475","10475","=""10475""","3362"
"11230","11230","=""11230""","12429"
"10310","10310","=""10310""","3403"
"11361","11361","=""11361""","4983"
"11220","11220","=""11220""","16017"
"11355","11355","=""11355""","8928"
"11105","11105","=""11105""","6612"
"11412","11412","=""11412""","983"
"11210","11210","=""11210""","5781"
"11418","11418","=""11418""","5522"
"11222","11222","=""11222""","11253"
"11224","11224","=""11224""","4779"
"10463","10463","=""10463""","6889"
"11204","11204","=""11204""","9879"
"11427","11427","=""11427""","2203"
"11356","11356","=""11356""","5523"
"11433","11433","=""11433""","3265"
"11212","11212","=""11212""","3682"
"10474","10474","=""10474""","11776"
"11435","11435","=""11435""","5359"
"11373","11373","=""11373""","7643"
"11370","11370","=""11370""","1974"
"10462","10462","=""10462""","6874"
"11219","11219","=""11219""","18596"
"11228","11228","=""11228""","4014"
"11231","11231","=""11231""","10029"
"10470","10470","=""10470""","1767"
"11206","11206","=""11206""","9245"
"10035","10035","=""10035""","5543"
"11218","11218","=""11218""","8753"
"11201","11201","=""11201""","24295"
"11423","11423","=""11423""","2422"
"11360","11360","=""11360""","1416"
"11221","11221","=""11221""","3607"
"11426","11426","=""11426""","1122"
"11233","11233","=""11233""","3399"
"11694","11694","=""11694""","1964"
"10460","10460","=""10460""","2943"
"11429","11429","=""11429""","1725"
"11421","11421","=""11421""","1781"
"11226","11226","=""11226""","4842"
"11232","11232","=""11232""","11742"
"10302","10302","=""10302""","2271"
"11411","11411","=""11411""","851"
"11419","11419","=""11419""","2485"
"11417","11417","=""11417""","2149"
"11238","11238","=""11238""","5548"
"10034","10034","=""10034""","2686"
"11371","11371","=""11371""","347"
"11366","11366","=""11366""","1876"
"10468","10468","=""10468""","3898"
"11369","11369","=""11369""","2880"
"11213","11213","=""11213""","3955"
"11692","11692","=""11692""","1483"
"10457","10457","=""10457""","5586"
"10472","10472","=""10472""","2860"
"10454","10454","=""10454""","6948"
"10451","10451","=""10451""","6652"
"10456","10456","=""10456""","4328"
"10458","10458","=""10458""","5278"
"11237","11237","=""11237""","8872"
"10452","10452","=""10452""","4372"
"11693","11693","=""11693""","994"
"11004","11004","=""11004""","958"
"11205","11205","=""11205""","8116"
"11374","11374","=""11374""","5011"
"11216","11216","=""11216""","3623"
"10453","10453","=""10453""","2870"
"11225","11225","=""11225""","3399"
"10002","10002","=""10002""","16666"
"11363","11363","=""11363""","832"
"10027","10027","=""10027""","8885"
"11106","11106","=""11106""","7988"
"10024","10024","=""10024""","14477"
"11428","11428","=""11428""","1599"
"10459","10459","=""10459""","3157"
"10029","10029","=""10029""","7399"
"11436","11436","=""11436""","950"
"11102","11102","=""11102""","5044"
"10025","10025","=""10025""","11775"
"11217","11217","=""11217""","10629"
"11372","11372","=""11372""","6095"
"10455","10455","=""10455""","4897"
"11103","11103","=""11103""","5938"
"10019","10019","=""10019""","58323"
"10011","10011","=""10011""","37144"
"11416","11416","=""11416""","2863"
"10032","10032","=""10032""","5869"
"10031","10031","=""10031""","3401"
"11239","11239","=""11239""","1352"
"10009","10009","=""10009""","6596"
"10001","10001","=""10001""","74154"
"10033","10033","=""10033""","4584"
"10003","10003","=""10003""","36828"
"11415","11415","=""11415""","2301"
"10014","10014","=""10014""","22130"
"10013","10013","=""10013""","42717"
"10004","10004","=""10004""","20950"
"10016","10016","=""10016""","54488"
"10023","10023","=""10023""","17584"
"10128","10128","=""10128""","13527"
"10036","10036","=""10036""","52720"
"10039","10039","=""10039""","730"
"10022","10022","=""10022""","55493"
"11104","11104","=""11104""","2122"
"10040","10040","=""10040""","2459"
"10010","10010","=""10010""","32921"
"10021","10021","=""10021""","15518"
"10065","10065","=""10065""","17142"
"10026","10026","=""10026""","2311"
"10012","10012","=""10012""","26203"
"10018","10018","=""10018""","73661"
"10017","10017","=""10017""","49406"
"10028","10028","=""10028""","11262"
"10038","10038","=""10038""","15680"
"10030","10030","=""10030""","2038"
"10037","10037","=""10037""","903"
"11359","11359","=""11359""","17"
"10044","10044","=""10044""","787"
"10075","10075","=""10075""","7408"
"11005","11005","=""11005""","308"
"10007","10007","=""10007""","13028"
"10280","10280","=""10280""","1665"
"10069","10069","=""10069""","466"
"10006","10006","=""10006""","8053"
"10282","10282","=""10282""","1071"
"10005","10005","=""10005""","14342"
"11109","11109","=""11109""","516"
"10311","10311","=""10311""","3"
"11425","11425","=""11425""","0"
"11451","11451","=""11451""","14"
"11424","11424","=""11424""","80"
"10020","10020","=""10020""","4500"
"10199","10199","=""10199""","30"
"10119","10119","=""10119""","2562"
"10278","10278","=""10278""","178"
"10162","10162","=""10162""","256"
"10110","10110","=""10110""","3061"
"10170","10170","=""10170""","3092"
"10103","10103","=""10103""","2123"
"10112","10112","=""10112""","1154"
