"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with fewer than 500 employees in 2016."
"10314","10314","=""10314""","12680"
"11234","11234","=""11234""","10464"
"10312","10312","=""10312""","4868"
"10306","10306","=""10306""","6573"
"11430","11430","=""11430""","4117"
"10309","10309","=""10309""","5459"
"10305","10305","=""10305""","5400"
"10304","10304","=""10304""","4113"
"11385","11385","=""11385""","10636"
"11236","11236","=""11236""","7030"
"10301","10301","=""10301""","4623"
"10464","10464","=""10464""","1357"
"11208","11208","=""11208""","6425"
"10465","10465","=""10465""","4341"
"11434","11434","=""11434""","7257"
"10303","10303","=""10303""","3566"
"11413","11413","=""11413""","4078"
"11357","11357","=""11357""","6432"
"11691","11691","=""11691""","5628"
"11101","11101","=""11101""","39779"
"11368","11368","=""11368""","7727"
"11207","11207","=""11207""","9253"
"11378","11378","=""11378""","13630"
"10471","10471","=""10471""","4257"
"11697","11697","=""11697""","359"
"11367","11367","=""11367""","3311"
"11362","11362","=""11362""","2403"
"11377","11377","=""11377""","12275"
"11365","11365","=""11365""","5109"
"10469","10469","=""10469""","4786"
"11364","11364","=""11364""","2219"
"11235","11235","=""11235""","13389"
"10461","10461","=""10461""","7889"
"11414","11414","=""11414""","2775"
"11211","11211","=""11211""","29364"
"10467","10467","=""10467""","5675"
"11229","11229","=""11229""","10186"
"11354","11354","=""11354""","19300"
"11215","11215","=""11215""","14563"
"11214","11214","=""11214""","9330"
"11432","11432","=""11432""","8946"
"10473","10473","=""10473""","3733"
"11203","11203","=""11203""","5353"
"11209","11209","=""11209""","10227"
"11379","11379","=""11379""","3667"
"11420","11420","=""11420""","2152"
"11223","11223","=""11223""","11525"
"11422","11422","=""11422""","1865"
"10466","10466","=""10466""","4541"
"11375","11375","=""11375""","11177"
"10308","10308","=""10308""","2136"
"10307","10307","=""10307""","1286"
"11358","11358","=""11358""","5243"
"10475","10475","=""10475""","3235"
"11230","11230","=""11230""","12613"
"10310","10310","=""10310""","3674"
"11361","11361","=""11361""","5346"
"11220","11220","=""11220""","16472"
"11355","11355","=""11355""","10864"
"11105","11105","=""11105""","6949"
"11412","11412","=""11412""","1432"
"11210","11210","=""11210""","6540"
"11418","11418","=""11418""","6114"
"11222","11222","=""11222""","12451"
"11224","11224","=""11224""","5824"
"10463","10463","=""10463""","7306"
"11204","11204","=""11204""","10194"
"11427","11427","=""11427""","1800"
"11356","11356","=""11356""","5743"
"11433","11433","=""11433""","3580"
"11212","11212","=""11212""","4005"
"10474","10474","=""10474""","11659"
"11435","11435","=""11435""","5518"
"11373","11373","=""11373""","8038"
"11370","11370","=""11370""","2719"
"10462","10462","=""10462""","6403"
"11219","11219","=""11219""","22332"
"11228","11228","=""11228""","4214"
"11231","11231","=""11231""","10262"
"10470","10470","=""10470""","2893"
"11206","11206","=""11206""","10967"
"10035","10035","=""10035""","5912"
"11218","11218","=""11218""","10605"
"11201","11201","=""11201""","26491"
"11423","11423","=""11423""","2462"
