"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Number of jobs at firms with 500 or more employees in 2014."
"10314","10314","=""10314""","9753"
"11234","11234","=""11234""","6569"
"10312","10312","=""10312""","967"
"10306","10306","=""10306""","4574"
"11430","11430","=""11430""","27225"
"10309","10309","=""10309""","2454"
"10305","10305","=""10305""","3476"
"10304","10304","=""10304""","2055"
"11385","11385","=""11385""","4555"
"11236","11236","=""11236""","3531"
"10301","10301","=""10301""","2084"
"10464","10464","=""10464""","181"
"11208","11208","=""11208""","3306"
"10465","10465","=""10465""","1607"
"11434","11434","=""11434""","3619"
"10303","10303","=""10303""","2876"
"11413","11413","=""11413""","4128"
"11357","11357","=""11357""","1381"
"11691","11691","=""11691""","2464"
"11101","11101","=""11101""","34258"
"11368","11368","=""11368""","2999"
"11207","11207","=""11207""","4283"
"11378","11378","=""11378""","7017"
"10471","10471","=""10471""","4277"
"11697","11697","=""11697""","35"
"11367","11367","=""11367""","1548"
"11362","11362","=""11362""","1571"
"11377","11377","=""11377""","4416"
"11365","11365","=""11365""","3274"
"10469","10469","=""10469""","1944"
"11364","11364","=""11364""","383"
"11235","11235","=""11235""","6347"
"10461","10461","=""10461""","18573"
"11414","11414","=""11414""","717"
"11211","11211","=""11211""","11749"
"10467","10467","=""10467""","22583"
"11229","11229","=""11229""","3637"
"11354","11354","=""11354""","8018"
"11215","11215","=""11215""","9451"
"11214","11214","=""11214""","3039"
"11432","11432","=""11432""","8314"
"10473","10473","=""10473""","2804"
"11203","11203","=""11203""","3539"
"11209","11209","=""11209""","3700"
"11379","11379","=""11379""","428"
"11420","11420","=""11420""","2266"
"11223","11223","=""11223""","1522"
"11422","11422","=""11422""","770"
"10466","10466","=""10466""","4057"
"11375","11375","=""11375""","16952"
"10308","10308","=""10308""","178"
"10307","10307","=""10307""","80"
"11358","11358","=""11358""","685"
"10475","10475","=""10475""","6808"
"11230","11230","=""11230""","12461"
"10310","10310","=""10310""","3457"
"11361","11361","=""11361""","1398"
"11220","11220","=""11220""","8304"
"11355","11355","=""11355""","12962"
"11105","11105","=""11105""","2248"
"11412","11412","=""11412""","369"
"11210","11210","=""11210""","4589"
"11418","11418","=""11418""","5214"
"11222","11222","=""11222""","3568"
"11224","11224","=""11224""","1678"
"10463","10463","=""10463""","4619"
"11204","11204","=""11204""","2469"
"11427","11427","=""11427""","746"
"11356","11356","=""11356""","4158"
"11433","11433","=""11433""","732"
"11212","11212","=""11212""","5438"
"10474","10474","=""10474""","3981"
"11435","11435","=""11435""","1522"
"11373","11373","=""11373""","9060"
"11370","11370","=""11370""","2548"
"10462","10462","=""10462""","6453"
"11219","11219","=""11219""","16631"
"11228","11228","=""11228""","552"
"11231","11231","=""11231""","2182"
"10470","10470","=""10470""","348"
"11206","11206","=""11206""","5763"
"10035","10035","=""10035""","5732"
"11218","11218","=""11218""","7631"
"11201","11201","=""11201""","32421"
"11423","11423","=""11423""","6980"
"11360","11360","=""11360""","1772"
"11221","11221","=""11221""","859"
"11426","11426","=""11426""","783"
"11233","11233","=""11233""","1807"
"11694","11694","=""11694""","308"
"10460","10460","=""10460""","3468"
"11429","11429","=""11429""","276"
"11421","11421","=""11421""","427"
"11226","11226","=""11226""","3306"
"11232","11232","=""11232""","2495"
"10302","10302","=""10302""","1424"
"11411","11411","=""11411""","285"
"11419","11419","=""11419""","1483"
"11417","11417","=""11417""","517"
"11238","11238","=""11238""","2109"
"10034","10034","=""10034""","1952"
"11371","11371","=""11371""","6729"
"11366","11366","=""11366""","714"
"10468","10468","=""10468""","3567"
"11369","11369","=""11369""","1567"
"11213","11213","=""11213""","2360"
"11692","11692","=""11692""","110"
"10457","10457","=""10457""","6074"
"10472","10472","=""10472""","805"
"10454","10454","=""10454""","1546"
"10451","10451","=""10451""","7514"
"10456","10456","=""10456""","2641"
"10458","10458","=""10458""","8533"
