GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US36,36,New York,19697457,*****,12667413,15437,3073278,7500,75751,2606,1599216,4458,7528,653,1697831,19567,576440,9362,150198,4931,426242,7494
8600000US06390,06390,ZCTA5 06390,303,151,297,150,0,11,0,11,0,11,0,11,0,11,6,14,6,14,0,11
8600000US07421,07421,ZCTA5 07421,7281,512,6547,535,86,95,199,235,148,171,0,17,215,251,86,59,23,35,63,46
8600000US10001,10001,ZCTA5 10001,23332,1740,14814,1045,2235,1417,32,34,5000,714,0,21,640,541,611,218,230,154,381,150
8600000US10002,10002,ZCTA5 10002,78096,2456,24591,1682,6638,922,196,138,33352,1726,8,12,10432,1623,2879,623,565,228,2314,561
8600000US10003,10003,ZCTA5 10003,56767,1934,44001,1620,2493,534,105,71,7348,831,8,16,1198,554,1614,404,346,230,1268,342
8600000US10004,10004,ZCTA5 10004,3044,509,2201,438,31,37,0,11,744,296,6,9,12,18,50,34,0,11,50,34
8600000US10005,10005,ZCTA5 10005,8710,840,6425,785,245,158,0,16,1625,444,0,16,211,156,204,137,71,108,133,83
8600000US10006,10006,ZCTA5 10006,3277,438,2162,353,99,103,0,11,686,268,0,11,111,131,219,157,71,65,148,115
8600000US10007,10007,ZCTA5 10007,6740,665,4790,667,390,111,0,16,1062,208,0,16,107,74,391,142,64,55,327,139
8600000US10009,10009,ZCTA5 10009,59799,1682,36219,1673,4898,669,89,82,8096,1078,70,73,8463,1235,1964,488,248,139,1716,463
8600000US10010,10010,ZCTA5 10010,32854,2303,24356,2313,1867,357,214,243,4963,749,0,24,511,248,943,281,96,73,847,271
8600000US10011,10011,ZCTA5 10011,50404,2300,40021,2033,2313,460,64,69,5091,988,4,8,1415,519,1496,396,206,227,1290,363
8600000US10012,10012,ZCTA5 10012,24536,1279,18565,1057,641,237,38,40,3959,738,12,20,367,174,954,373,26,31,928,372
8600000US10013,10013,ZCTA5 10013,28211,1443,15813,1015,1371,331,36,37,9039,1083,0,21,491,251,1461,391,276,188,1185,346
8600000US10014,10014,ZCTA5 10014,31464,1227,27978,1257,417,145,126,168,1770,355,0,24,580,273,593,238,52,65,541,229
8600000US10016,10016,ZCTA5 10016,50444,2138,36626,2480,1537,514,68,65,9872,1076,0,27,411,256,1930,681,444,361,1486,595
8600000US10017,10017,ZCTA5 10017,16533,1281,11965,1155,503,193,0,18,3732,779,6,13,61,63,266,181,30,50,236,172
8600000US10018,10018,ZCTA5 10018,9684,664,5724,591,532,206,0,16,2842,423,0,16,203,123,383,149,67,65,316,125
8600000US10019,10019,ZCTA5 10019,39505,1902,27568,1569,2551,641,196,152,6356,945,53,56,1481,561,1300,332,157,108,1143,320
8600000US10020,10020,ZCTA5 10020,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10021,10021,ZCTA5 10021,45261,2254,37409,2000,576,279,316,374,4280,1197,59,77,1040,901,1581,611,128,131,1453,601
8600000US10022,10022,ZCTA5 10022,30262,1518,25795,1427,605,269,50,56,3170,627,0,24,236,161,406,225,33,53,373,219
8600000US10023,10023,ZCTA5 10023,60307,2076,49506,1853,2060,520,111,90,6270,907,21,27,1073,752,1266,378,100,104,1166,361
8600000US10024,10024,ZCTA5 10024,58516,2518,47632,2331,3146,747,41,67,4282,786,0,27,1741,705,1674,645,194,266,1480,500
8600000US10025,10025,ZCTA5 10025,94717,3033,62509,2717,11505,1448,790,902,8697,1051,22,25,7221,1640,3973,919,506,204,3467,902
8600000US10026,10026,ZCTA5 10026,38540,1563,10025,1023,21314,1443,58,58,2076,516,31,49,3714,858,1322,437,415,239,907,329
8600000US10027,10027,ZCTA5 10027,64120,2111,19234,1215,26546,1666,305,208,6201,914,5,11,9496,986,2333,487,372,194,1961,467
8600000US10028,10028,ZCTA5 10028,48205,2498,41499,2397,659,379,48,58,4436,847,134,182,371,244,1058,317,194,151,864,295
8600000US10029,10029,ZCTA5 10029,79411,2268,27547,1586,22983,1819,185,115,6912,811,125,137,19577,2061,2082,404,646,243,1436,319
8600000US10030,10030,ZCTA5 10030,30358,1743,4829,865,19828,1735,133,116,704,295,69,101,3001,946,1794,590,123,86,1671,591
8600000US10031,10031,ZCTA5 10031,60778,2207,17689,1519,19916,1730,246,166,2091,593,14,27,10619,1715,10203,1622,737,420,9466,1496
8600000US10032,10032,ZCTA5 10032,63189,2242,19928,2210,12119,1219,752,579,2597,574,66,84,22137,2002,5590,1531,2489,868,3101,1392
8600000US10033,10033,ZCTA5 10033,59353,2098,24531,1573,6097,1063,636,368,1389,382,65,101,22345,2042,4290,1300,2215,1001,2075,672
8600000US10034,10034,ZCTA5 10034,43951,1444,17431,1450,4109,762,207,180,873,290,61,57,18876,1675,2394,544,942,390,1452,397
8600000US10035,10035,ZCTA5 10035,34187,1557,7486,820,14313,1429,279,214,1879,429,35,54,8796,1461,1399,397,515,219,884,351
8600000US10036,10036,ZCTA5 10036,25987,1305,16688,1130,1945,415,119,137,5008,886,0,21,1704,611,523,208,66,105,457,178
8600000US10037,10037,ZCTA5 10037,20112,1117,2161,463,14880,1222,6,10,503,220,19,22,1392,518,1151,327,384,221,767,281
8600000US10038,10038,ZCTA5 10038,22300,1299,11212,993,1940,550,66,42,7460,637,0,21,1041,399,581,219,33,46,548,220
8600000US10039,10039,ZCTA5 10039,27471,1471,3260,710,17984,1492,277,179,388,204,12,26,4473,1005,1077,355,250,143,827,336
8600000US10040,10040,ZCTA5 10040,45033,1900,16353,1437,4635,721,361,340,1320,407,0,24,19906,2334,2458,693,965,471,1493,434
8600000US10044,10044,ZCTA5 10044,11731,784,6234,682,1710,440,0,18,3034,599,0,18,255,218,498,236,59,84,439,232
8600000US10065,10065,ZCTA5 10065,30001,1675,26148,1590,1010,491,14,24,2329,550,18,31,130,108,352,155,36,50,316,166
8600000US10069,10069,ZCTA5 10069,5231,923,3764,813,158,121,0,16,1161,501,0,16,0,16,148,128,40,63,108,96
8600000US10075,10075,ZCTA5 10075,23353,1929,20558,1827,341,276,0,21,1152,468,0,21,699,600,603,384,170,226,433,295
8600000US10103,10103,ZCTA5 10103,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10110,10110,ZCTA5 10110,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
