GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US36,36,New York,19673174,*****,12704637,16077,3070392,8048,74793,2990,1570223,3844,6485,624,1685765,18762,560879,8910,153078,5067,407801,7409
8600000US06390,06390,ZCTA5 06390,339,146,331,145,0,11,0,11,0,11,0,11,0,11,8,17,8,17,0,11
8600000US10001,10001,ZCTA5 10001,23537,2422,14180,1048,2869,2294,36,34,4519,825,0,21,1050,795,883,320,346,256,537,174
8600000US10002,10002,ZCTA5 10002,80736,2479,23866,1520,6952,1878,177,118,34908,1624,6,11,11978,1752,2849,543,681,226,2168,505
8600000US10003,10003,ZCTA5 10003,57112,1592,44339,1428,2490,635,95,69,7738,835,0,27,802,306,1648,444,288,215,1360,358
8600000US10004,10004,ZCTA5 10004,3221,556,2274,458,23,35,0,11,856,321,0,11,25,29,43,32,0,11,43,32
8600000US10005,10005,ZCTA5 10005,8131,837,6126,719,240,158,0,16,1431,404,0,16,194,156,140,100,60,93,80,66
8600000US10006,10006,ZCTA5 10006,3110,406,2237,343,85,91,0,11,549,197,0,11,89,131,150,135,40,52,110,96
8600000US10007,10007,ZCTA5 10007,6876,539,4895,536,388,101,0,16,1057,224,0,16,106,86,430,169,63,55,367,150
8600000US10009,10009,ZCTA5 10009,60865,1987,36295,1655,4911,832,73,70,9155,859,112,113,8382,1241,1937,450,369,188,1568,427
8600000US10010,10010,ZCTA5 10010,31447,1404,22901,1333,1938,443,202,236,5087,817,0,24,643,314,676,283,54,48,622,283
8600000US10011,10011,ZCTA5 10011,52349,2371,41472,2119,1951,452,171,171,5850,906,0,27,1060,512,1845,540,341,235,1504,497
